# cases,moving_average
2.00,0.00
0.00,0.00
3.00,1.67
3.00,2.00
0.00,2.00
0.00,1.00
2.00,0.67
0.00,0.67
2.00,1.33
1.00,1.00
2.00,1.67
0.00,1.00
2.00,1.33
4.00,2.00
3.00,3.00
1.00,2.67
1.00,1.67
3.00,1.67
9.00,4.33
11.00,7.67
1.00,7.00
3.00,5.00
3.00,2.33
0.00,2.00
1.00,1.33
3.00,1.33
2.00,2.00
1.00,2.00
5.00,2.67
0.00,2.00
1.00,2.00
5.00,2.00
5.00,3.67
5.00,5.00
7.00,5.67
1.00,4.33
2.00,3.33
1.00,1.33
1.00,1.33
4.00,2.00
0.00,1.67
5.00,3.00
0.00,1.67
2.00,2.33
1.00,1.00
6.00,3.00
1.00,2.67
5.00,4.00
6.00,4.00
3.00,4.67
5.00,4.67
6.00,4.67
5.00,5.33
10.00,7.00
7.00,7.33
19.00,12.00
27.00,17.67
48.00,31.33
17.00,30.67
44.00,36.33
34.00,31.67
31.00,36.33
25.00,30.00
45.00,33.67
42.00,37.33
32.00,39.67
51.00,41.67
46.00,43.00
57.00,51.33
57.00,53.33
47.00,53.67
47.00,50.33
22.00,38.67
29.00,32.67
32.00,27.67
21.00,27.33
25.00,26.00
13.00,19.67
16.00,18.00
11.00,13.33
4.00,10.33
5.00,6.67
3.00,4.00
4.00,4.00
1.00,2.67
4.00,3.00
2.00,2.33
2.00,2.67
0.00,1.33
4.00,2.00
4.00,2.67
2.00,3.33
0.00,2.00
2.00,1.33
0.00,0.67
0.00,0.67
0.00,0.00
0.00,0.00
0.00,0.00
2.00,0.67
0.00,0.67
0.00,0.67
1.00,0.33
0.00,0.33
0.00,0.33
4.00,1.33
0.00,1.33
0.00,1.33
3.00,1.00
0.00,1.00
0.00,1.00
3.00,1.00
1.00,1.33
1.00,1.67
0.00,0.67
3.00,1.33
0.00,1.00
0.00,1.00
0.00,0.00
8.00,2.67
2.00,3.33
0.00,3.33
0.00,0.67
0.00,0.00
0.00,0.00
1.00,0.33
0.00,0.33
13.00,4.67
3.00,5.33
2.00,6.00
3.00,2.67
6.00,3.67
0.00,3.00
6.00,4.00
3.00,3.00
3.00,4.00
1.00,2.33
1.00,1.67
0.00,0.67
0.00,0.33
0.00,0.00
1.00,0.33
1.00,0.67
0.00,0.67
3.00,1.33
0.00,1.00
8.00,3.67
4.00,4.00
3.00,5.00
1.00,2.67
3.00,2.33
30.00,11.33
16.00,16.33
2.00,16.00
14.00,10.67
3.00,6.33
1.00,6.00
2.00,2.00
4.00,2.33
2.00,2.67
28.00,11.33
9.00,13.00
5.00,14.00
11.00,8.33
10.00,8.67
17.00,12.67
14.00,13.67
24.00,18.33
42.00,26.67
38.00,34.67
28.00,36.00
38.00,34.67
52.00,39.33
48.00,46.00
19.00,39.67
67.00,44.67
58.00,48.00
64.00,63.00
108.00,76.67
73.00,81.67
60.00,80.33
113.00,82.00
118.00,97.00
123.00,118.00
133.00,124.67
128.00,128.00
145.00,135.33
106.00,126.33
118.00,123.00
149.00,124.33
121.00,129.33
124.00,131.33
115.00,120.00
78.00,105.67
80.00,91.00
85.00,81.00
95.00,86.67
89.00,89.67
69.00,84.33
72.00,76.67
69.00,70.00
33.00,58.00
62.00,54.67
69.00,54.67
48.00,59.67
46.00,54.33
74.00,56.00
44.00,54.67
36.00,51.33
26.00,35.33
18.00,26.67
27.00,23.67
26.00,23.67
25.00,26.00
9.00,20.00
19.00,17.67
24.00,17.33
21.00,21.33
13.00,19.33
18.00,17.33
15.00,15.33
9.00,14.00
12.00,12.00
8.00,9.67
8.00,9.33
12.00,9.33
7.00,9.00
21.00,13.33
11.00,13.00
6.00,12.67
6.00,7.67
12.00,8.00
12.00,10.00
13.00,12.33
19.00,14.67
14.00,15.33
4.00,12.33
9.00,9.00
9.00,7.33
3.00,7.00
13.00,8.33
23.00,13.00
6.00,14.00
8.00,12.33
3.00,5.67
7.00,6.00
2.00,4.00
1.00,3.33
6.00,3.00
10.00,5.67
4.00,6.67
8.00,7.33
10.00,7.33
7.00,8.33
4.00,7.00
5.00,5.33
11.00,6.67
8.00,8.00
11.00,10.00
18.00,12.33
8.00,12.33
6.00,10.67
7.00,7.00
11.00,8.00
8.00,8.67
0.00,6.33
12.00,6.67
7.00,6.33
17.00,12.00
4.00,9.33
15.00,12.00
5.00,8.00
8.00,9.33
11.00,8.00
4.00,7.67
5.00,6.67
6.00,5.00
8.00,6.33
5.00,6.33
2.00,5.00
3.00,3.33
7.00,4.00
3.00,4.33
7.00,5.67
6.00,5.33
9.00,7.33
3.00,6.00
7.00,6.33
6.00,5.33
3.00,5.33
10.00,6.33
6.00,6.33
9.00,8.33
18.00,11.00
23.00,16.67
6.00,15.67
8.00,12.33
14.00,9.33
8.00,10.00
4.00,8.67
9.00,7.00
12.00,8.33
26.00,15.67
43.00,27.00
68.00,45.67
73.00,61.33
80.00,73.67
85.00,79.33
81.00,82.00
92.00,86.00
84.00,85.67
115.00,97.00
76.00,91.67
82.00,91.00
103.00,87.00
90.00,91.67
112.00,101.67
101.00,101.00
95.00,102.67
78.00,91.33
100.00,91.00
104.00,94.00
112.00,105.33
86.00,100.67
69.00,89.00
95.00,83.33
82.00,82.00
98.00,91.67
82.00,87.33
96.00,92.00
70.00,82.67
109.00,91.67
74.00,84.33
85.00,89.33
63.00,74.00
53.00,67.00
71.00,62.33
57.00,60.33
59.00,62.33
70.00,62.00
61.00,63.33
53.00,61.33
54.00,56.00
68.00,58.33
42.00,54.67
35.00,48.33
41.00,39.33
53.00,43.00
32.00,42.00
25.00,36.67
33.00,30.00
45.00,34.33
59.00,45.67
31.00,45.00
41.00,43.67
60.00,44.00
42.00,47.67
29.00,43.67
38.00,36.33
50.00,39.00
55.00,47.67
107.00,70.67
56.00,72.67
77.00,80.00
70.00,67.67
61.00,69.33
81.00,70.67
76.00,72.67
73.00,76.67
64.00,71.00
60.00,65.67
39.00,54.33
50.00,49.67
28.00,39.00
53.00,43.67
34.00,38.33
25.00,37.33
19.00,26.00
22.00,22.00
37.00,26.00
19.00,26.00
27.00,27.67
32.00,26.00
26.00,28.33
17.00,25.00
21.00,21.33
24.00,20.67
12.00,19.00
12.00,16.00
9.00,11.00
8.00,9.67
16.00,11.00
8.00,10.67
13.00,12.33
15.00,12.00
20.00,16.00
16.00,17.00
12.00,16.00
17.00,15.00
13.00,14.00
25.00,18.33
32.00,23.33
22.00,26.33
14.00,22.67
13.00,16.33
14.00,13.67
9.00,12.00
11.00,11.33
8.00,9.33
16.00,11.67
9.00,11.00
21.00,15.33
8.00,12.67
22.00,17.00
60.00,30.00
47.00,43.00
24.00,43.67
30.00,33.67
18.00,24.00
11.00,19.67
10.00,13.00
13.00,11.33
8.00,10.33
8.00,9.67
18.00,11.33
12.00,12.67
10.00,13.33
9.00,10.33
11.00,10.00
6.00,8.67
1.00,6.00
8.00,5.00
7.00,5.33
6.00,7.00
13.00,8.67
19.00,12.67
2.00,11.33
7.00,9.33
16.00,8.33
7.00,10.00
8.00,10.33
10.00,8.33
14.00,10.67
5.00,9.67
13.00,10.67
13.00,10.33
13.00,13.00
5.00,10.33
6.00,8.00
17.00,9.33
18.00,13.67
30.00,21.67
12.00,20.00
8.00,16.67
1.00,7.00
14.00,7.67
9.00,8.00
3.00,8.67
6.00,6.00
4.00,4.33
8.00,6.00
7.00,6.33
15.00,10.00
4.00,8.67
8.00,9.00
2.00,4.67
2.00,4.00
4.00,2.67
6.00,4.00
2.00,4.00
3.00,3.67
5.00,3.33
1.00,3.00
4.00,3.33
1.00,2.00
2.00,2.33
3.00,2.00
1.00,2.00
3.00,2.33
3.00,2.33
1.00,2.33
1.00,1.67
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
2.00,1.33
1.00,1.33
2.00,1.67
1.00,1.33
0.00,1.00
0.00,0.33
1.00,0.33
0.00,0.33
4.00,1.67
7.00,3.67
0.00,3.67
1.00,2.67
1.00,0.67
1.00,1.00
7.00,3.00
7.00,5.00
3.00,5.67
4.00,4.67
