date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
1/23/2020,2,2,,,0.267,0.267,,
1/24/2020,2,0,,,0.267,0,,
1/25/2020,5,3,,,0.667,0.4,,
1/26/2020,8,3,,,1.067,0.4,,
1/27/2020,8,0,,,1.067,0,,
1/28/2020,8,0,,,1.067,0,,
1/29/2020,10,2,,,1.334,0.267,,
1/30/2020,10,0,,,1.334,0,,
1/31/2020,12,2,,,1.601,0.267,,
2/1/2020,13,1,,,1.735,0.133,,
2/2/2020,15,2,,,2.001,0.267,,
2/3/2020,15,0,,,2.001,0,,
2/4/2020,17,2,1,1,2.268,0.267,0.133,0.133
2/5/2020,21,4,1,0,2.802,0.534,0.133,0
2/6/2020,24,3,1,0,3.202,0.4,0.133,0
2/7/2020,25,1,1,0,3.336,0.133,0.133,0
2/8/2020,26,1,1,0,3.469,0.133,0.133,0
2/9/2020,29,3,1,0,3.869,0.4,0.133,0
2/10/2020,38,9,1,0,5.07,1.201,0.133,0
2/11/2020,49,11,1,0,6.538,1.468,0.133,0
2/12/2020,50,1,1,0,6.671,0.133,0.133,0
2/13/2020,53,3,1,0,7.072,0.4,0.133,0
2/14/2020,56,3,1,0,7.472,0.4,0.133,0
2/15/2020,56,0,1,0,7.472,0,0.133,0
2/16/2020,57,1,1,0,7.605,0.133,0.133,0
2/17/2020,60,3,1,0,8.006,0.4,0.133,0
2/18/2020,62,2,1,0,8.273,0.267,0.133,0
2/19/2020,63,1,2,1,8.406,0.133,0.267,0.133
2/20/2020,68,5,2,0,9.073,0.667,0.267,0
2/21/2020,68,0,2,0,9.073,0,0.267,0
2/22/2020,69,1,2,0,9.207,0.133,0.267,0
2/23/2020,74,5,2,0,9.874,0.667,0.267,0
2/24/2020,79,5,2,0,10.541,0.667,0.267,0
2/25/2020,84,5,2,0,11.208,0.667,0.267,0
2/26/2020,91,7,2,0,12.142,0.934,0.267,0
2/27/2020,92,1,2,0,12.276,0.133,0.267,0
2/28/2020,94,2,2,0,12.542,0.267,0.267,0
2/29/2020,95,1,2,0,12.676,0.133,0.267,0
3/1/2020,96,1,2,0,12.809,0.133,0.267,0
3/2/2020,100,4,2,0,13.343,0.534,0.267,0
3/3/2020,100,0,2,0,13.343,0,0.267,0
3/4/2020,105,5,2,0,14.01,0.667,0.267,0
3/5/2020,105,0,2,0,14.01,0,0.267,0
3/6/2020,107,2,2,0,14.277,0.267,0.267,0
3/7/2020,108,1,2,0,14.41,0.133,0.267,0
3/8/2020,114,6,3,1,15.211,0.801,0.4,0.133
3/9/2020,115,1,3,0,15.344,0.133,0.4,0
3/10/2020,120,5,3,0,16.012,0.667,0.4,0
3/11/2020,126,6,3,0,16.812,0.801,0.4,0
3/12/2020,129,3,3,0,17.212,0.4,0.4,0
3/13/2020,134,5,4,1,17.88,0.667,0.534,0.133
3/14/2020,140,6,4,0,18.68,0.801,0.534,0
3/15/2020,145,5,4,0,19.347,0.667,0.534,0
3/16/2020,155,10,4,0,20.682,1.334,0.534,0
3/17/2020,162,7,4,0,21.616,0.934,0.534,0
3/18/2020,181,19,4,0,24.151,2.535,0.534,0
3/19/2020,208,27,4,0,27.753,3.603,0.534,0
3/20/2020,256,48,4,0,34.158,6.405,0.534,0
3/21/2020,273,17,4,0,36.426,2.268,0.534,0
3/22/2020,317,44,4,0,42.297,5.871,0.534,0
3/23/2020,351,34,4,0,46.834,4.537,0.534,0
3/24/2020,382,31,4,0,50.97,4.136,0.534,0
3/25/2020,407,25,4,0,54.306,3.336,0.534,0
3/26/2020,452,45,4,0,60.31,6.004,0.534,0
3/27/2020,494,42,4,0,65.914,5.604,0.534,0
3/28/2020,526,32,4,0,70.184,4.27,0.534,0
3/29/2020,577,51,4,0,76.989,6.805,0.534,0
3/30/2020,623,46,4,0,83.127,6.138,0.534,0
3/31/2020,680,57,4,0,90.732,7.605,0.534,0
4/1/2020,737,57,4,0,98.338,7.605,0.534,0
4/2/2020,784,47,4,0,104.609,6.271,0.534,0
4/3/2020,831,47,4,0,110.88,6.271,0.534,0
4/4/2020,853,22,4,0,113.816,2.935,0.534,0
4/5/2020,882,29,4,0,117.685,3.869,0.534,0
4/6/2020,914,32,4,0,121.955,4.27,0.534,0
4/7/2020,935,21,4,0,124.757,2.802,0.534,0
4/8/2020,960,25,4,0,128.093,3.336,0.534,0
4/9/2020,973,13,4,0,129.827,1.735,0.534,0
4/10/2020,989,16,4,0,131.962,2.135,0.534,0
4/11/2020,1000,11,4,0,133.43,1.468,0.534,0
4/12/2020,1004,4,4,0,133.964,0.534,0.534,0
4/13/2020,1009,5,4,0,134.631,0.667,0.534,0
4/14/2020,1012,3,4,0,135.031,0.4,0.534,0
4/15/2020,1016,4,4,0,135.565,0.534,0.534,0
4/16/2020,1017,1,4,0,135.698,0.133,0.534,0
4/17/2020,1021,4,4,0,136.232,0.534,0.534,0
4/18/2020,1023,2,4,0,136.499,0.267,0.534,0
4/19/2020,1025,2,4,0,136.766,0.267,0.534,0
4/20/2020,1025,0,4,0,136.766,0,0.534,0
4/21/2020,1029,4,4,0,137.299,0.534,0.534,0
4/22/2020,1033,4,4,0,137.833,0.534,0.534,0
4/23/2020,1035,2,4,0,138.1,0.267,0.534,0
4/24/2020,1035,0,4,0,138.1,0,0.534,0
4/25/2020,1037,2,4,0,138.367,0.267,0.534,0
4/26/2020,1037,0,4,0,138.367,0,0.534,0
4/27/2020,1037,0,4,0,138.367,0,0.534,0
4/28/2020,1037,0,4,0,138.367,0,0.534,0
4/29/2020,1037,0,4,0,138.367,0,0.534,0
4/30/2020,1037,0,4,0,138.367,0,0.534,0
5/1/2020,1039,2,4,0,138.634,0.267,0.534,0
5/2/2020,1039,0,4,0,138.634,0,0.534,0
5/3/2020,1039,0,4,0,138.634,0,0.534,0
5/4/2020,1040,1,4,0,138.767,0.133,0.534,0
5/5/2020,1040,0,4,0,138.767,0,0.534,0
5/6/2020,1040,0,4,0,138.767,0,0.534,0
5/7/2020,1044,4,4,0,139.301,0.534,0.534,0
5/8/2020,1044,0,4,0,139.301,0,0.534,0
5/9/2020,1044,0,4,0,139.301,0,0.534,0
5/10/2020,1047,3,4,0,139.701,0.4,0.534,0
5/11/2020,1047,0,4,0,139.701,0,0.534,0
5/12/2020,1047,0,4,0,139.701,0,0.534,0
5/13/2020,1050,3,4,0,140.101,0.4,0.534,0
5/14/2020,1051,1,4,0,140.235,0.133,0.534,0
5/15/2020,1052,1,4,0,140.368,0.133,0.534,0
5/16/2020,1052,0,4,0,140.368,0,0.534,0
5/17/2020,1055,3,4,0,140.768,0.4,0.534,0
5/18/2020,1055,0,4,0,140.768,0,0.534,0
5/19/2020,1055,0,4,0,140.768,0,0.534,0
5/20/2020,1055,0,4,0,140.768,0,0.534,0
5/21/2020,1063,8,4,0,141.836,1.067,0.534,0
5/22/2020,1065,2,4,0,142.103,0.267,0.534,0
5/23/2020,1065,0,4,0,142.103,0,0.534,0
5/24/2020,1065,0,4,0,142.103,0,0.534,0
5/25/2020,1065,0,4,0,142.103,0,0.534,0
5/26/2020,1065,0,4,0,142.103,0,0.534,0
5/27/2020,1066,1,4,0,142.236,0.133,0.534,0
5/28/2020,1066,0,4,0,142.236,0,0.534,0
5/29/2020,1079,13,4,0,143.971,1.735,0.534,0
5/30/2020,1082,3,4,0,144.371,0.4,0.534,0
5/31/2020,1084,2,4,0,144.638,0.267,0.534,0
6/1/2020,1087,3,4,0,145.038,0.4,0.534,0
6/2/2020,1093,6,4,0,145.839,0.801,0.534,0
6/3/2020,1093,0,4,0,145.839,0,0.534,0
6/4/2020,1099,6,4,0,146.639,0.801,0.534,0
6/5/2020,1102,3,4,0,147.04,0.4,0.534,0
6/6/2020,1105,3,4,0,147.44,0.4,0.534,0
6/7/2020,1106,1,4,0,147.573,0.133,0.534,0
6/8/2020,1107,1,4,0,147.707,0.133,0.534,0
6/9/2020,1107,0,4,0,147.707,0,0.534,0
6/10/2020,1107,0,4,0,147.707,0,0.534,0
6/11/2020,1107,0,4,0,147.707,0,0.534,0
6/12/2020,1108,1,4,0,147.84,0.133,0.534,0
6/13/2020,1109,1,4,0,147.974,0.133,0.534,0
6/14/2020,1109,0,4,0,147.974,0,0.534,0
6/15/2020,1112,3,4,0,148.374,0.4,0.534,0
6/16/2020,1112,0,4,0,148.374,0,0.534,0
6/17/2020,1120,8,4,0,149.441,1.067,0.534,0
6/18/2020,1124,4,4,0,149.975,0.534,0.534,0
6/19/2020,1127,3,4,0,150.375,0.4,0.534,0
6/20/2020,1128,1,4,0,150.509,0.133,0.534,0
6/21/2020,1131,3,5,1,150.909,0.4,0.667,0.133
6/22/2020,1161,30,5,0,154.912,4.003,0.667,0
6/23/2020,1177,16,6,1,157.047,2.135,0.801,0.133
6/24/2020,1179,2,6,0,157.314,0.267,0.801,0
6/25/2020,1193,14,7,1,159.182,1.868,0.934,0.133
6/26/2020,1196,3,7,0,159.582,0.4,0.934,0
6/27/2020,1197,1,7,0,159.715,0.133,0.934,0
6/28/2020,1199,2,7,0,159.982,0.267,0.934,0
6/29/2020,1203,4,7,0,160.516,0.534,0.934,0
6/30/2020,1205,2,7,0,160.783,0.267,0.934,0
7/1/2020,1233,28,7,0,164.519,3.736,0.934,0
7/2/2020,1242,9,7,0,165.72,1.201,0.934,0
7/3/2020,1247,5,7,0,166.387,0.667,0.934,0
7/4/2020,1258,11,7,0,167.855,1.468,0.934,0
7/5/2020,1268,10,7,0,169.189,1.334,0.934,0
7/6/2020,1285,17,7,0,171.457,2.268,0.934,0
7/7/2020,1299,14,7,0,173.325,1.868,0.934,0
7/8/2020,1323,24,7,0,176.528,3.202,0.934,0
7/9/2020,1365,42,7,0,182.132,5.604,0.934,0
7/10/2020,1403,38,7,0,187.202,5.07,0.934,0
7/11/2020,1431,28,7,0,190.938,3.736,0.934,0
7/12/2020,1469,38,7,0,196.008,5.07,0.934,0
7/13/2020,1521,52,7,0,202.947,6.938,0.934,0
7/14/2020,1569,48,8,1,209.351,6.405,1.067,0.133
7/15/2020,1588,19,8,0,211.887,2.535,1.067,0
7/16/2020,1655,67,10,2,220.826,8.94,1.334,0.267
7/17/2020,1713,58,10,0,228.565,7.739,1.334,0
7/18/2020,1777,64,12,2,237.105,8.54,1.601,0.267
7/19/2020,1885,108,12,0,251.515,14.41,1.601,0
7/20/2020,1958,73,12,0,261.256,9.74,1.601,0
7/21/2020,2018,60,14,2,269.261,8.006,1.868,0.267
7/22/2020,2131,113,14,0,284.339,15.078,1.868,0
7/23/2020,2249,118,15,1,300.084,15.745,2.001,0.133
7/24/2020,2372,123,16,1,316.495,16.412,2.135,0.133
7/25/2020,2505,133,18,2,334.242,17.746,2.402,0.267
7/26/2020,2633,128,18,0,351.321,17.079,2.402,0
7/27/2020,2778,145,22,4,370.668,19.347,2.935,0.534
7/28/2020,2884,106,22,0,384.812,14.144,2.935,0
7/29/2020,3002,118,24,2,400.556,15.745,3.202,0.267
7/30/2020,3151,149,24,0,420.437,19.881,3.202,0
7/31/2020,3272,121,27,3,436.582,16.145,3.603,0.4
8/1/2020,3396,124,31,4,453.128,16.545,4.136,0.534
8/2/2020,3511,115,34,3,468.472,15.344,4.537,0.4
8/3/2020,3589,78,37,3,478.88,10.408,4.937,0.4
8/4/2020,3669,80,41,4,489.554,10.674,5.471,0.534
8/5/2020,3754,85,43,2,500.895,11.342,5.737,0.267
8/6/2020,3849,95,44,1,513.571,12.676,5.871,0.133
8/7/2020,3938,89,46,2,525.447,11.875,6.138,0.267
8/8/2020,4007,69,47,1,534.653,9.207,6.271,0.133
8/9/2020,4079,72,51,4,544.26,9.607,6.805,0.534
8/10/2020,4148,69,54,3,553.467,9.207,7.205,0.4
8/11/2020,4181,33,58,4,557.87,4.403,7.739,0.534
8/12/2020,4243,62,63,5,566.143,8.273,8.406,0.667
