student_name,answer
S1,ACBCCDABDABD
S2,ACDCDCDAADCD
S3,ADDCCBBDCCBD
S4,ABCCCBCBACAD
S5,ACCBBCACBBAC
S6,A B B C C B B C C C A D
S7,ACCCDDBAADAD
S8,ACDBBCAADCBD
S9,DDDABDBBBBAD
S10,ADCCDCABDCCD
S11,ACADDCBBABCD
S12,ACACDAABCCCC
S13,ADDDCDACBBAC
S14,ADACDDBCACAD
S15,1.D 2.D 3.B 4.B 5.C 6.A 7.B 8.C 9.C 10.C 11.A 12.D
S16,ACBCDDBCDCCA
S17,ADBACABBCCCD
S18,CCBDCDBBACAC
S19,ADBBCBACCCAD
S20,ADBCCBAADAAD
S21,AABCBCACACAC
S22,ADBCCBACCCBD
S23,ADBCCBACCCBD
S24,AABCBCACABAC
S25,ACCCCBACCCAD
S26,B:C:B:C:C:D:B:C:B:B:A:D
S27,AABCBAACBBAB
S28,ACBCDCACABAD
S29,ADBCCBACCCBD
S30,DDDCCDACBCCD
S31,ADBCCBABCDAC
S32,ACBCDDACABAD
S33,ADDCCDABCCCD
S34,A-A-D-B-C-D-C-C-B-C-C-C
S35,ACBCBABCDCCC
S36,ABABCCBCAAAC
S37,AADACDCCBCCC
S38,ACCBCBAAAACC
S39,ACBDDAABDCAC
S40,ACABCCACDBAD
S41,ACDABCACABAC
S42,ABBCBCCCCDCC
S43,ADBCCBACCCBD
S44,1-A 2-B 3-B 4-C 5-B 6-D 7-C 8-C 9-C 10-D 11-C 12-C
S45,ACDBBACABCCC
S46,ADBCCBACCAAA
S47,DCDDBCBCCBAD
S48,ABBDBCCBCDCC
S49,ABCCAAACCBCC
S50,AABCBCBCBBAC
S51,ADCCCBABCBAD
S52,ACCBDDACBCCD
S53,ACDCBDBACBBB
S54,ABBCBBCCCDDC
S55,ABBCADBBCBCD
