sex,age,fare,embarked,class,who,embark_town,alive,alone
male,22.0,7.25,S,Third,man,Southampton,no,FALSE
female,38.0,71.2833,C,First,woman,Cherbourg,yes,FALSE
female,26.0,7.925,S,Third,woman,Southampton,yes,TRUE
female,35.0,53.1,S,First,woman,Southampton,yes,FALSE
male,35.0,8.05,S,Third,man,Southampton,no,TRUE
male,,8.4583,Q,Third,man,Queenstown,no,TRUE
male,54.0,51.8625,S,First,man,Southampton,no,TRUE
male,2.0,21.075,S,Third,child,Southampton,no,FALSE
female,27.0,11.1333,S,Third,woman,Southampton,yes,FALSE
female,14.0,30.0708,C,Second,child,Cherbourg,yes,FALSE
female,4.0,16.7,S,Third,child,Southampton,yes,FALSE
female,58.0,26.55,S,First,woman,Southampton,yes,TRUE
male,20.0,8.05,S,Third,man,Southampton,no,TRUE
male,39.0,31.275,S,Third,man,Southampton,no,FALSE
female,14.0,7.8542,S,Third,child,Southampton,no,TRUE
female,55.0,16.0,S,Second,woman,Southampton,yes,TRUE
male,2.0,29.125,Q,Third,child,Queenstown,no,FALSE
male,,13.0,S,Second,man,Southampton,yes,TRUE
female,31.0,18.0,S,Third,woman,Southampton,no,FALSE
female,,7.225,C,Third,woman,Cherbourg,yes,TRUE
male,35.0,26.0,S,Second,man,Southampton,no,TRUE
male,34.0,13.0,S,Second,man,Southampton,yes,TRUE
female,15.0,8.0292,Q,Third,child,Queenstown,yes,TRUE
male,28.0,35.5,S,First,man,Southampton,yes,TRUE
female,8.0,21.075,S,Third,child,Southampton,no,FALSE
female,38.0,31.3875,S,Third,woman,Southampton,yes,FALSE
male,,7.225,C,Third,man,Cherbourg,no,TRUE
male,19.0,263.0,S,First,man,Southampton,no,FALSE
female,,7.8792,Q,Third,woman,Queenstown,yes,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,40.0,27.7208,C,First,man,Cherbourg,no,TRUE
female,,146.5208,C,First,woman,Cherbourg,yes,FALSE
female,,7.75,Q,Third,woman,Queenstown,yes,TRUE
male,66.0,10.5,S,Second,man,Southampton,no,TRUE
male,28.0,82.1708,C,First,man,Cherbourg,no,FALSE
male,42.0,52.0,S,First,man,Southampton,no,FALSE
male,,7.2292,C,Third,man,Cherbourg,yes,TRUE
male,21.0,8.05,S,Third,man,Southampton,no,TRUE
female,18.0,18.0,S,Third,woman,Southampton,no,FALSE
female,14.0,11.2417,C,Third,child,Cherbourg,yes,FALSE
female,40.0,9.475,S,Third,woman,Southampton,no,FALSE
female,27.0,21.0,S,Second,woman,Southampton,no,FALSE
male,,7.8958,C,Third,man,Cherbourg,no,TRUE
female,3.0,41.5792,C,Second,child,Cherbourg,yes,FALSE
female,19.0,7.8792,Q,Third,woman,Queenstown,yes,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,,15.5,Q,Third,man,Queenstown,no,FALSE
female,,7.75,Q,Third,woman,Queenstown,yes,TRUE
male,,21.6792,C,Third,man,Cherbourg,no,FALSE
female,18.0,17.8,S,Third,woman,Southampton,no,FALSE
male,7.0,39.6875,S,Third,child,Southampton,no,FALSE
male,21.0,7.8,S,Third,man,Southampton,no,TRUE
female,49.0,76.7292,C,First,woman,Cherbourg,yes,FALSE
female,29.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,65.0,61.9792,C,First,man,Cherbourg,no,FALSE
male,,35.5,S,First,man,Southampton,yes,TRUE
female,21.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,28.5,7.2292,C,Third,man,Cherbourg,no,TRUE
female,5.0,27.75,S,Second,child,Southampton,yes,FALSE
male,11.0,46.9,S,Third,child,Southampton,no,FALSE
male,22.0,7.2292,C,Third,man,Cherbourg,no,TRUE
female,38.0,80.0,,First,woman,,yes,TRUE
male,45.0,83.475,S,First,man,Southampton,no,FALSE
male,4.0,27.9,S,Third,child,Southampton,no,FALSE
male,,27.7208,C,First,man,Cherbourg,no,TRUE
male,,15.2458,C,Third,man,Cherbourg,yes,FALSE
female,29.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,19.0,8.1583,S,Third,man,Southampton,no,TRUE
female,17.0,7.925,S,Third,woman,Southampton,yes,FALSE
male,26.0,8.6625,S,Third,man,Southampton,no,FALSE
male,32.0,10.5,S,Second,man,Southampton,no,TRUE
female,16.0,46.9,S,Third,woman,Southampton,no,FALSE
male,21.0,73.5,S,Second,man,Southampton,no,TRUE
male,26.0,14.4542,C,Third,man,Cherbourg,no,FALSE
male,32.0,56.4958,S,Third,man,Southampton,yes,TRUE
male,25.0,7.65,S,Third,man,Southampton,no,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,0.83,29.0,S,Second,child,Southampton,yes,FALSE
female,30.0,12.475,S,Third,woman,Southampton,yes,TRUE
male,22.0,9.0,S,Third,man,Southampton,no,TRUE
male,29.0,9.5,S,Third,man,Southampton,yes,TRUE
female,,7.7875,Q,Third,woman,Queenstown,yes,TRUE
male,28.0,47.1,S,First,man,Southampton,no,TRUE
female,17.0,10.5,S,Second,woman,Southampton,yes,TRUE
female,33.0,15.85,S,Third,woman,Southampton,yes,FALSE
male,16.0,34.375,S,Third,man,Southampton,no,FALSE
male,,8.05,S,Third,man,Southampton,no,TRUE
female,23.0,263.0,S,First,woman,Southampton,yes,FALSE
male,24.0,8.05,S,Third,man,Southampton,no,TRUE
male,29.0,8.05,S,Third,man,Southampton,no,TRUE
male,20.0,7.8542,S,Third,man,Southampton,no,TRUE
male,46.0,61.175,S,First,man,Southampton,no,FALSE
male,26.0,20.575,S,Third,man,Southampton,no,FALSE
male,59.0,7.25,S,Third,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,71.0,34.6542,C,First,man,Cherbourg,no,TRUE
male,23.0,63.3583,C,First,man,Cherbourg,yes,FALSE
female,34.0,23.0,S,Second,woman,Southampton,yes,FALSE
male,34.0,26.0,S,Second,man,Southampton,no,FALSE
female,28.0,7.8958,S,Third,woman,Southampton,no,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,21.0,77.2875,S,First,man,Southampton,no,FALSE
male,33.0,8.6542,S,Third,man,Southampton,no,TRUE
male,37.0,7.925,S,Third,man,Southampton,no,FALSE
male,28.0,7.8958,S,Third,man,Southampton,no,TRUE
female,21.0,7.65,S,Third,woman,Southampton,yes,TRUE
male,,7.775,S,Third,man,Southampton,yes,TRUE
male,38.0,7.8958,S,Third,man,Southampton,no,TRUE
female,,24.15,Q,Third,woman,Queenstown,yes,FALSE
male,47.0,52.0,S,First,man,Southampton,no,TRUE
female,14.5,14.4542,C,Third,child,Cherbourg,no,FALSE
male,22.0,8.05,S,Third,man,Southampton,no,TRUE
female,20.0,9.825,S,Third,woman,Southampton,no,FALSE
female,17.0,14.4583,C,Third,woman,Cherbourg,no,TRUE
male,21.0,7.925,S,Third,man,Southampton,no,TRUE
male,70.5,7.75,Q,Third,man,Queenstown,no,TRUE
male,29.0,21.0,S,Second,man,Southampton,no,FALSE
male,24.0,247.5208,C,First,man,Cherbourg,no,FALSE
female,2.0,31.275,S,Third,child,Southampton,no,FALSE
male,21.0,73.5,S,Second,man,Southampton,no,FALSE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,32.5,30.0708,C,Second,man,Cherbourg,no,FALSE
female,32.5,13.0,S,Second,woman,Southampton,yes,TRUE
male,54.0,77.2875,S,First,man,Southampton,no,FALSE
male,12.0,11.2417,C,Third,child,Cherbourg,yes,FALSE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
male,24.0,7.1417,S,Third,man,Southampton,yes,TRUE
female,,22.3583,C,Third,woman,Cherbourg,yes,FALSE
male,45.0,6.975,S,Third,man,Southampton,no,TRUE
male,33.0,7.8958,C,Third,man,Cherbourg,no,TRUE
male,20.0,7.05,S,Third,man,Southampton,no,TRUE
female,47.0,14.5,S,Third,woman,Southampton,no,FALSE
female,29.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,25.0,13.0,S,Second,man,Southampton,no,TRUE
male,23.0,15.0458,C,Second,man,Cherbourg,no,TRUE
female,19.0,26.2833,S,First,woman,Southampton,yes,FALSE
male,37.0,53.1,S,First,man,Southampton,no,FALSE
male,16.0,9.2167,S,Third,man,Southampton,no,TRUE
male,24.0,79.2,C,First,man,Cherbourg,no,TRUE
female,,15.2458,C,Third,woman,Cherbourg,no,FALSE
female,22.0,7.75,S,Third,woman,Southampton,yes,TRUE
female,24.0,15.85,S,Third,woman,Southampton,yes,FALSE
male,19.0,6.75,Q,Third,man,Queenstown,no,TRUE
male,18.0,11.5,S,Second,man,Southampton,no,TRUE
male,19.0,36.75,S,Second,man,Southampton,no,FALSE
male,27.0,7.7958,S,Third,man,Southampton,yes,TRUE
female,9.0,34.375,S,Third,child,Southampton,no,FALSE
male,36.5,26.0,S,Second,man,Southampton,no,FALSE
male,42.0,13.0,S,Second,man,Southampton,no,TRUE
male,51.0,12.525,S,Second,man,Southampton,no,TRUE
female,22.0,66.6,S,First,woman,Southampton,yes,FALSE
male,55.5,8.05,S,Third,man,Southampton,no,TRUE
male,40.5,14.5,S,Third,man,Southampton,no,FALSE
male,,7.3125,S,Third,man,Southampton,no,TRUE
male,51.0,61.3792,C,First,man,Cherbourg,no,FALSE
female,16.0,7.7333,Q,Third,woman,Queenstown,yes,TRUE
male,30.0,8.05,S,Third,man,Southampton,no,TRUE
male,,8.6625,S,Third,man,Southampton,no,TRUE
male,,69.55,S,Third,man,Southampton,no,FALSE
male,44.0,16.1,S,Third,man,Southampton,no,FALSE
female,40.0,15.75,S,Second,woman,Southampton,yes,TRUE
male,26.0,7.775,S,Third,man,Southampton,no,TRUE
male,17.0,8.6625,S,Third,man,Southampton,no,TRUE
male,1.0,39.6875,S,Third,child,Southampton,no,FALSE
male,9.0,20.525,S,Third,child,Southampton,yes,FALSE
female,,55.0,S,First,woman,Southampton,yes,FALSE
female,45.0,27.9,S,Third,woman,Southampton,no,FALSE
male,,25.925,S,First,man,Southampton,no,TRUE
male,28.0,56.4958,S,Third,man,Southampton,no,TRUE
